('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L21+L22+A2+TA2 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'D2+TD2 DINESH KUMAR S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L21+L22+A2+TA2 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'G2+TG2 DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L21+L22+A2+TA2 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L13+L14 MANIMARAN A/DINESH KUMAR S/ROY.S', 'D2+TD2 DINESH KUMAR S', 'L27+L28+B2+TB2 NAVEEN MISHRA')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L21+L22+A2+TA2 BHULAKSHMI BONTHU/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L13+L14 MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S', 'L27+L28+B2+TB2 NAVEEN MISHRA')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L29+L30+A2+TA2 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'D2+TD2 DINESH KUMAR S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L29+L30+A2+TA2 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'G2+TG2 DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L29+L30+A2+TA2 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L13+L14 MANIMARAN A/DINESH KUMAR S/ROY.S', 'D2+TD2 DINESH KUMAR S', 'L27+L28+B2+TB2 NAVEEN MISHRA')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L29+L30+A2+TA2 VISHNU SRINIVASA MURTHY Y + BHULAKSHMI BONTHU/SHARMILA BANU K/SRIVANI A/SHALINI L/PREETHA EVANGELINE D', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L13+L14 MANIMARAN A/DINESH KUMAR S/ROY.S', 'G2+TG2 DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S', 'L27+L28+B2+TB2 NAVEEN MISHRA')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L23+L24+A2+TA2 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'D2+TD2 DINESH KUMAR S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L23+L24+A2+TA2 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L27+L28 DEEPA G', 'G2+TG2 DEEPA G/NANDHINI S/GOWSALYA M/MANIMARAN A/ROY.S/JAGATHESWARI S', 'L13+L14+B2+TB2 LAVANYA N')
('L5+L6+E2+TE2 BADAL KUMAR MANDAL', 'L9+L10+L15+L16+L19+L20 PADMA PRIYA R', 'L23+L24+A2+TA2 SRIVANI A/SHALINI L', 'C2+TC2+TCC2+V5 JAYALAKSHMI M/NALLIAH M', 'L13+L14 MANIMARAN A/DINESH KUMAR S/ROY.S', 'D2+TD2 DINESH KUMAR S', 'L27+L28+B2+TB2 NAVEEN MISHRA')
